id,family,variant,meaning,distinctiveness,tiny_size_legibility,circular_balance,brand_potential,common_mark_risk_lower_is_safer,signal_philosophy_fit,overall,finalist
C1,Confluence,Triad Datum,9.1,7.2,9.1,8.4,8.0,5.0,9.1,8.4,no
C2,Confluence,Triad Radial,8.9,7.0,8.4,9.0,7.5,6.0,8.9,8.1,no
C3,Confluence,Four Gap,9.5,8.6,9.1,9.8,8.9,2.7,9.6,9.2,yes
C4,Confluence,Four Core,9.3,8.8,8.8,9.6,9.0,2.5,9.4,9.1,yes
C5,Confluence,Weighted Arrival,9.2,8.5,7.3,9.4,8.3,3.2,9.3,8.5,no
P1,Phase Lock,Open Point,9.4,7.9,9.7,7.8,8.4,4.2,9.3,8.8,yes
P2,Phase Lock,Datum Ring,9.6,8.2,9.4,8.5,8.8,3.7,9.6,9.0,yes
P3,Phase Lock,Short Pulse,8.7,7.8,9.6,7.5,7.8,5.4,8.8,8.2,no
P4,Phase Lock,Quiet Datum,9.2,8.0,8.5,8.3,8.4,4.4,9.2,8.6,no
P5,Phase Lock,Weighted Settle,9.1,8.0,8.8,7.7,8.1,4.8,9.1,8.5,no
